Location,ID,Latitude,Longitude,River,ReachID
South Fork Tule River - Reservation Boundary,TVRC1,36.02417,-118.8125,South Fork Tule River,14930789
Russian River - Ukiah 3NNE,UKAC1,39.19556,-123.19389,Russian River,8269099
Upper Penitencia Creek - Piedmont Road,UPCC1,37.39084,-121.8425,Upper Penitencia Creek,17694085
Sacramento River Delta - Venice Island,VNCC1,38.05028,-121.49695,Sacramento River Delta,1889732
Walker River - Wabuska,WALN2,39.1525,-119.09889,Walker River,10736789
Warthan Creek - Coalinga,WARC1,36.09806,-120.44333,Warthan Creek,14883693
West Branch Feather River - Magalia,WBGC1,39.825,-121.5675,West Branch Feather River,2775742
West Fork Mojave River - Hesperia,WFMC1,34.33889,-117.25694,West Fork Mojave River,22660259
Williamson River - Klamath Agency,WKAO3,42.74028,-121.83333,Williamson River,24081561
Sacramento River - Wilkins Slough,WLKC1,39.01,-121.82361,Sacramento River,2851625
Whitewater River - Indio,WTIC1,33.73724,-116.23612,Whitewater River,22593695
West Walker River - Hudson,WWHN2,38.80972,-119.22639,West Walker River,10743426
Whitewater River - Rancho Mirage,WWIC1,33.74944,-116.42194,Whitewater River,22593529
Arroyo Valle - Lang Canyon,YLEC1,37.56139,-121.68278,Arroyo Valle,2806807
Shasta River - Yreka,YREC1,41.82306,-122.59444,Shasta River,3917058
Lytle Creek - Colton,YTLC1,34.07889,-117.30472,Lytle Creek,22557922
New River - Westmorland,ZNRC1,33.1047,-115.66361,New River,22599619
