Location,ID,Latitude,Longitude,River,ReachID
Humboldt River - Carlin,HRCN2,40.72778,-116.00833,Humboldt River,10783402
Humboldt River - Elko,HREN2,40.93611,-115.62361,Humboldt River,10784576
Humboldt River - Imlay,HRIN2,40.69167,-118.20278,Humboldt River,11153151
Huasna River - Arroyo Grande,HSAC1,35.07778,-120.37083,Huasna River,17632432
South Fork Trinity River - Hyampom,HYMC1,40.65,-123.49306,South Fork Trinity River,8232392
South Fork Silver Creek - Ice House Reservoir,ICHC1,38.82389,-120.36,South Fork Silver Creek,14981972
Indian Creek - Indian Falls,IIFC1,40.05611,-120.96194,Indian Creek,8027088
Independence Creek - Independence Lake,ILAC1,39.45194,-120.28972,Independence Creek,8933376
North Fork Cache Creek - Indian Valley Reservoir,INVC1,39.08,-122.53361,North Fork Cache Creek,8007863
Klamath River - Iron Gate,IRGC1,41.92806,-122.44306,Klamath River,361671
Kern River - Lake Isabella,ISAC1,35.64667,-118.47889,Kern River,24757076
Middle Yuba River - Jackson Meadows Reservoir,JKRC1,39.50917,-120.55222,Middle Yuba River,8059613
South Fork Yuba River - Jones Bar,JNSC1,39.29222,-121.10361,South Fork Yuba River,8060983
Kelsey Creek - Kelseyville,KCVC1,38.9275,-122.8425,Kelsey Creek,948020963
San Lorenzo Creek - King City,KCYC1,36.26806,-121.06528,San Lorenzo Creek,8205487
Klamath River - Keno,KEOO3,42.13333,-121.96111,Klamath River,2553639
South Fork Kings River - Above Boyden Cavern,KGPC1,36.80889,-118.77805,South Fork Kings River,22058767
Kern River - Fairview Dam,KKVC1,35.94528,-118.47667,Kern River,14971709
Upper Klamath Lake - Klamath Falls,KLAO3,42.25,-121.81528,Upper Klamath Lake,24091906
Klamath River - Klamath,KLMC1,41.51111,-123.97833,Klamath River,4438356
Cajon Creek - Keenbrook,KNBC1,34.26695,-117.45917,Cajon Creek,22554638
Kern River - Kernville,KRVC1,35.75444,-118.42333,Kern River,14972877
Kaweah River - Three Rivers,KTRC1,36.44389,-118.90444,Kaweah River,14922321
East Fork Russian River - Lake Mendocino,LAMC1,39.20028,-123.18639,East Fork Russian River,8269153
Los Banos Creek - Los Banos Creek Reservoir,LBDC1,36.99361,-120.92972,Los Banos Creek,16604219
Putah Creek - Lake Berryessa,LBEC1,38.513,-122.104,Putah Creek,8016105
Lamoille Creek - Lamoille,LCLN2,40.69083,-115.47556,Lamoille Creek,10786444
South Fork Eel River - Leggett,LEGC1,39.87472,-123.71944,South Fork Eel River,8287256
Los Gatos Creek - Lake Elsman,LESC1,37.1298,-121.9296,Los Gatos Creek,17695803
Los Gatos Creek - Lexington Reservoir,LEXC1,37.20167,-121.98806,Los Gatos Creek,17695937
Los Gatos Creek - El Dorado Avenue,LGAC1,36.16694,-120.20889,Los Gatos Creek,17150416
Los Gatos Creek - Coalinga,LGCC1,36.21472,-120.46972,Los Gatos Creek,14883269
Santa Clara River - Lake Piru,LKPC1,34.46139,-118.75056,Santa Clara River,17575859
Santa Ynez River - Los Laureles Canyon,LLYC1,34.54361,-119.86389,Santa Ynez River,17611449
Gerle Creek - Loon Lake,LNLC1,38.98306,-120.32306,Gerle Creek,14993085
Eleanor Creek - Lake Eleanor,LNRC1,37.97417,-119.88,Eleanor Creek,17082195
San Lorenzo Creek - Hayward,LRZC1,37.68556,-122.06333,San Lorenzo Creek,2803983
Laguna De Santa Rosa - Sebastopol,LSEC1,38.42556,-122.82806,Laguna De Santa Rosa,8273691
Little Dry Creek - Friant,LTDC1,36.93444,-119.73,Little Dry Creek,19791931
