Location,ID,Latitude,Longitude,River
Klamath River - Klamath,KLMC1,41.51111,-123.97833,Klamath River
Cajon Creek - Keenbrook,KNBC1,34.26695,-117.45917,Cajon Creek
Kern River - Kernville,KRVC1,35.75444,-118.42333,Kern River
Kaweah River - Three Rivers,KTRC1,36.44389,-118.90444,Kaweah River
East Fork Russian River - Lake Mendocino,LAMC1,39.20028,-123.18639,East Fork Russian River
Los Banos Creek - Los Banos Creek Reservoir,LBDC1,36.99361,-120.92972,Los Banos Creek
Putah Creek - Lake Berryessa,LBEC1,38.513,-122.104,Putah Creek
Lamoille Creek - Lamoille,LCLN2,40.69083,-115.47556,Lamoille Creek
South Fork Eel River - Leggett,LEGC1,39.87472,-123.71944,South Fork Eel River
Los Gatos Creek - Lake Elsman,LESC1,37.1298,-121.9296,Los Gatos Creek
Los Gatos Creek - Lexington Reservoir,LEXC1,37.20167,-121.98806,Los Gatos Creek
Los Gatos Creek - El Dorado Avenue,LGAC1,36.16694,-120.20889,Los Gatos Creek
Los Gatos Creek - Coalinga,LGCC1,36.21472,-120.46972,Los Gatos Creek
Santa Clara River - Lake Piru,LKPC1,34.46139,-118.75056,Santa Clara River
Santa Ynez River - Los Laureles Canyon,LLYC1,34.54361,-119.86389,Santa Ynez River
Gerle Creek - Loon Lake,LNLC1,38.98306,-120.32306,Gerle Creek
Eleanor Creek - Lake Eleanor,LNRC1,37.97417,-119.88,Eleanor Creek
San Lorenzo Creek - Hayward,LRZC1,37.68556,-122.06333,San Lorenzo Creek
Laguna De Santa Rosa - Sebastopol,LSEC1,38.42556,-122.82806,Laguna De Santa Rosa
Little Dry Creek - Friant,LTDC1,36.93444,-119.73,Little Dry Creek
San Antonio River - Lockwood,LWDC1,35.89667,-121.08722,San Antonio River
Steamboat Creek - Little Washoe Lake,LWON2,39.3317,-119.8,Steamboat Creek
Martin Creek - Paradise Valley,MARN2,41.53333,-117.42778,Martin Creek
Walker River - Mason - Snyder Lane,MASN2,38.91972,-119.18889,Walker River
Mojave River - Barstow,MBRC1,34.90694,-117.02194,Mojave River
Cosumnes River - McConnell,MCNC1,38.3578,-121.34374,Cosumnes River
McDermitt Creek - McDermitt,MDCN2,41.96667,-117.83083,McDermitt Creek
Tuolumne River - Modesto,MDSC1,37.62722,-120.98639,Tuolumne River
Bear Creek - McKee Road,MEEC1,37.30889,-120.44389,Bear Creek
Middle Fork American River - Foresthill,MFAC1,39.00611,-120.75972,Middle Fork American River
Middle Fork American River - Above Middle Fork Powerhouse,MFPC1,39.02528,-120.59444,Middle Fork American River
Middle Fork Feather River - Portola,MFTC1,39.81917,-120.44389,Middle Fork Feather River
Cosumnes River - Michigan Bar,MHBC1,38.50028,-121.04417,Cosumnes River
Marys River - Above Hot Springs Creek,MHSN2,41.25278,-115.25556,Marys River
Central Valley - Water Resources Index,MLIC0,38.04278,-121.92,Central Valley
Mill Creek - Los Molinos,MLMC1,40.05472,-122.02306,Mill Creek
Mill Creek - Piedra,MLPC1,36.81861,-119.34083,Mill Creek
McCloud River - McCloud,MMCC1,41.18833,-122.06444,McCloud River
Mariposa Creek - Mariposa Reservoir,MPAC1,37.29194,-120.14694,Mariposa Creek
Alameda Creek - Above Diversion Dam,MPTC1,37.4975,-121.7725,Alameda Creek
Middle Fork Feather River - Merrimac,MRMC1,39.70833,-121.26944,Middle Fork Feather River
South Fork Eel River - Miranda,MRNC1,40.18222,-123.775,South Fork Eel River
Yuba River - Marysville,MRYC1,39.17583,-121.52389,Yuba River
Mormon Slough - Bellota,MSGC1,38.05,-121.01417,Mormon Slough
McCloud River - Above Shasta Lake,MSSC1,40.95833,-122.21833,McCloud River
Martis Creek - Martis Creek Lake,MTSC1,39.32722,-120.11333,Martis Creek
Middle Creek - Upper Lake,MUPC1,39.18278,-122.91083,Middle Creek
Murrieta Creek - Temecula,MUTC1,33.47972,-117.14306,Murrieta Creek
Mojave River - Mojave River Forks Reservoir,MVDC1,34.3425,-117.235,Mojave River
Mojave River - Victorville,MVVC1,34.57306,-117.31972,Mojave River
Mark West Creek - Mirabel Heights,MWEC1,38.49417,-122.85222,Mark West Creek
Santa Ana River - Muni Water Dist Crossing,MWXC1,33.96861,-117.4475,Santa Ana River
Nacimiento River - Lake Nacimiento,NACC1,35.75583,-120.89111,Nacimiento River
North Fork Yuba River - New Bullards Bar Reservoir,NBBC1,39.39278,-121.14028,North Fork Yuba River
Nacimiento River - Sapaque,NBYC1,35.78861,-121.09278,Nacimiento River
Feather River - Nicolaus,NCOC1,38.89111,-121.60389,Feather River
Tuolumne River - Don Pedro Lake,NDPC1,37.70167,-120.42111,Tuolumne River
N Fork Stanislaus River - Diversion Dam,NDVC1,38.43833,-120.01667,N Fork Stanislaus River
North Fork American River - North Fork Dam,NFDC1,38.93611,-121.02278,North Fork American River
